model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,k,ci_width
Qwen/Qwen2.5-72B-Instruct-AWQ,openbookqa,0.9693,0.9297,0.9958,0.98,10.8573,72.0,qwen,0,openbookqa,1,50,15,1,0.9604,50,0.0661
meta-llama/Llama-3.2-1B-Instruct,aqua,0.2124,0.1764,0.2517,0.2,9.0,1.0,llama,1,aqua,0,100,151,1,0.04,100,0.0754
meta-llama/Llama-3.2-3B-Instruct,aqua,0.292,0.2282,0.3583,0.27,9.4771,3.0,llama,1,aqua,0,100,161,1,0.0729,100,0.1301
meta-llama/Llama-3.1-8B-Instruct,aqua,0.282,0.2158,0.3489,0.3,9.9031,8.0,llama,1,aqua,0,100,165,0,0.09,100,0.1331
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,aqua,0.4534,0.3637,0.5375,0.41,10.8451,70.0,llama,1,aqua,1,100,202,2,0.1681,100,0.1737
Qwen/Qwen2.5-0.5B-Instruct,aqua,0.2296,0.2011,0.2576,0.19,8.699,0.5,qwen,0,aqua,0,100,76,0,0.0361,100,0.0565
Qwen/Qwen2.5-1.5B-Instruct,aqua,0.3048,0.2445,0.3681,0.39,9.1761,1.5,qwen,0,aqua,0,100,66,1,0.1521,100,0.1235
Qwen/Qwen2.5-3B-Instruct,aqua,0.3585,0.2816,0.4357,0.33,9.4771,3.0,qwen,0,aqua,0,100,0,0,0.1089,100,0.1541
Qwen/Qwen2.5-7B-Instruct,aqua,0.4478,0.358,0.5415,0.4,9.8451,7.0,qwen,0,aqua,0,100,0,1,0.16,100,0.1835
Qwen/Qwen2.5-14B-Instruct,aqua,0.5583,0.4677,0.6513,0.53,10.1461,14.0,qwen,0,aqua,0,100,3,1,0.2809,100,0.1837
Qwen/Qwen2.5-32B-Instruct,aqua,0.6226,0.5302,0.7124,0.58,10.5051,32.0,qwen,0,aqua,0,100,3,1,0.3364,100,0.1822
Qwen/Qwen2.5-72B-Instruct-AWQ,aqua,0.6181,0.52,0.705,0.57,10.8573,72.0,qwen,0,aqua,1,100,9,1,0.3249,100,0.185
meta-llama/Llama-3.2-1B-Instruct,arc_challenge,0.4939,0.4348,0.5526,0.48,9.0,1.0,llama,1,arc_challenge,0,100,10,0,0.2304,100,0.1178
meta-llama/Llama-3.2-3B-Instruct,arc_challenge,0.7013,0.6352,0.7657,0.63,9.4771,3.0,llama,1,arc_challenge,0,100,1,0,0.3969,100,0.1305
meta-llama/Llama-3.1-8B-Instruct,arc_challenge,0.7841,0.7117,0.8446,0.7,9.9031,8.0,llama,1,arc_challenge,0,100,0,0,0.49,100,0.1329
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,arc_challenge,0.9035,0.8505,0.9492,0.87,10.8451,70.0,llama,1,arc_challenge,1,100,19,0,0.7569,100,0.0987
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,0.411,0.3705,0.4566,0.4,8.699,0.5,qwen,0,arc_challenge,0,100,4,0,0.16,100,0.0862
Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,0.7059,0.6495,0.7623,0.7,9.1761,1.5,qwen,0,arc_challenge,0,100,3,0,0.49,100,0.1128
Qwen/Qwen2.5-3B-Instruct,arc_challenge,0.774,0.7108,0.8402,0.76,9.4771,3.0,qwen,0,arc_challenge,0,100,10,0,0.5776,100,0.1294
Qwen/Qwen2.5-7B-Instruct,arc_challenge,0.8521,0.7856,0.9086,0.86,9.8451,7.0,qwen,0,arc_challenge,0,100,0,0,0.7396,100,0.123
Qwen/Qwen2.5-14B-Instruct,arc_challenge,0.9268,0.8787,0.9684,0.92,10.1461,14.0,qwen,0,arc_challenge,0,100,0,0,0.8464,100,0.0897
Qwen/Qwen2.5-32B-Instruct,arc_challenge,0.9402,0.8974,0.9742,0.93,10.5051,32.0,qwen,0,arc_challenge,0,100,0,0,0.8649,100,0.0768
Qwen/Qwen2.5-72B-Instruct-AWQ,arc_challenge,0.9797,0.962,0.9932,0.96,10.8573,72.0,qwen,0,arc_challenge,1,100,14,0,0.9216,100,0.0312
meta-llama/Llama-3.2-1B-Instruct,hellaswag,0.3092,0.2644,0.357,0.28,9.0,1.0,llama,1,hellaswag,0,100,15,0,0.0784,100,0.0926
meta-llama/Llama-3.2-3B-Instruct,hellaswag,0.5975,0.5319,0.664,0.48,9.4771,3.0,llama,1,hellaswag,0,100,0,0,0.2304,100,0.1321
meta-llama/Llama-3.1-8B-Instruct,hellaswag,0.7206,0.6594,0.7777,0.75,9.9031,8.0,llama,1,hellaswag,0,100,3,0,0.5625,100,0.1183
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,hellaswag,0.8668,0.812,0.9177,0.82,10.8451,70.0,llama,1,hellaswag,1,100,0,0,0.6724,100,0.1057
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,0.3423,0.3106,0.3787,0.34,8.699,0.5,qwen,0,hellaswag,0,100,11,0,0.1156,100,0.0681
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,0.6127,0.5541,0.6658,0.59,9.1761,1.5,qwen,0,hellaswag,0,100,0,0,0.3481,100,0.1117
Qwen/Qwen2.5-3B-Instruct,hellaswag,0.7568,0.6972,0.813,0.74,9.4771,3.0,qwen,0,hellaswag,0,100,12,0,0.5476,100,0.1159
Qwen/Qwen2.5-7B-Instruct,hellaswag,0.8121,0.757,0.8628,0.82,9.8451,7.0,qwen,0,hellaswag,0,100,0,0,0.6724,100,0.1059
Qwen/Qwen2.5-14B-Instruct,hellaswag,0.8884,0.8382,0.9341,0.92,10.1461,14.0,qwen,0,hellaswag,0,100,0,0,0.8464,100,0.0959
Qwen/Qwen2.5-32B-Instruct,hellaswag,0.9268,0.8798,0.9678,0.95,10.5051,32.0,qwen,0,hellaswag,0,100,0,0,0.9025,100,0.088
Qwen/Qwen2.5-72B-Instruct-AWQ,hellaswag,0.9406,0.9053,0.971,0.89,10.8573,72.0,qwen,0,hellaswag,1,100,1,0,0.7921,100,0.0657
meta-llama/Llama-3.2-1B-Instruct,logiqa,0.3126,0.2763,0.3501,0.25,9.0,1.0,llama,1,logiqa,0,100,22,0,0.0625,100,0.0738
meta-llama/Llama-3.2-3B-Instruct,logiqa,0.414,0.3613,0.4676,0.31,9.4771,3.0,llama,1,logiqa,0,100,8,0,0.0961,100,0.1063
